X,Y,NUMER,GMINA,WOJEWODZTWO
15.5610972054823,51.2607000770154,0201011,Bolesławiec,dolnośląskie
15.5742341505034,51.3085825745797,0201022,Bolesławiec,dolnośląskie
15.7358568248418,51.4078168665382,0201032,Gromadka,dolnośląskie
15.3672342543828,51.213817962441,0201043,Nowogrodziec,dolnośląskie
15.4162434380804,51.3911064747366,0201052,Osiecznica,dolnośląskie
15.7016409230508,51.236826208953,0201062,Warta Bolesławiecka,dolnośląskie
16.6034152273015,50.6757272133929,0202011,Bielawa,dolnośląskie
16.6493015897669,50.731200854141,0202021,Dzierżoniów,dolnośląskie
16.5529385684055,50.7053835673538,0202031,Pieszyce,dolnośląskie
16.7559262036832,50.6829416637532,0202041,Piława Górna,dolnośląskie
16.6602262231378,50.7341398878608,0202052,Dzierżoniów,dolnośląskie
16.7821174622773,50.7964920976225,0202062,Łagiewniki,dolnośląskie
16.8219638562915,50.7153668155937,0202073,Niemcza,dolnośląskie
16.0501664833914,51.6692968075704,0203011,Głogów,dolnośląskie
16.1366960077549,51.6708784281058,0203022,Głogów,dolnośląskie
16.0440524518791,51.5944122088795,0203032,Jerzmanowa,dolnośląskie
16.0420600866819,51.7397547859529,0203042,Kotla,dolnośląskie
16.2590132478672,51.6452396130218,0203052,Pęcław,dolnośląskie
15.9420964752701,51.6702427759108,0203062,Żukowice,dolnośląskie
16.5484635562333,51.6787096330899,0204013,Góra,dolnośląskie
16.5154137839168,51.5574601680475,0204022,Jemielno,dolnośląskie
16.3891765169143,51.6915736363408,0204032,Niechlów,dolnośląskie
16.7133542998215,51.5674125954058,0204043,Wąsosz,dolnośląskie
16.1864132441386,51.0681672795844,0205011,Jawor,dolnośląskie
16.073535304672,50.9199514382349,0205023,Bolków,dolnośląskie
16.0654595564576,51.0624018330826,0205032,Męcinka,dolnośląskie
16.2646961136336,51.0577224893635,0205042,Mściwojów,dolnośląskie
16.1321296853704,50.9972540932454,0205052,Paszowice,dolnośląskie
16.3691441062483,51.1013237868254,0205062,Wądroże Wielkie,dolnośląskie
15.741034787653,50.7624683999812,0206011,Karpacz,dolnośląskie
15.8407177929515,50.7808630900582,0206021,Kowary,dolnośląskie
15.580181100912,50.8314453908301,0206031,Piechowice,dolnośląskie
15.4626125371274,50.818788778453,0206041,Szklarska Poręba,dolnośląskie
15.9038884481567,50.8922657068369,0206052,Janowice Wielkie,dolnośląskie
15.7395115964792,50.9567231842288,0206062,Jeżów Sudecki,dolnośląskie
15.8318817168818,50.8467411596214,0206072,Mysłakowice,dolnośląskie
15.7059896232188,50.8101424725105,0206082,Podgórzyn,dolnośląskie
15.5618927132937,50.8965096669321,0206092,Stara Kamienica,dolnośląskie
16.0265719125807,50.7824415349944,0207011,Kamienna Góra,dolnośląskie
16.0174400290081,50.7529554488332,0207022,Kamienna Góra,dolnośląskie
15.9683040260878,50.6933310256751,0207033,Lubawka,dolnośląskie
16.0192994659984,50.8559297143061,0207042,Marciszów,dolnośląskie
16.3831978831972,50.3692156631615,0208011,Duszniki-Zdrój,dolnośląskie
16.6448399658299,50.4367036163816,0208021,Kłodzko,dolnośląskie
16.2587150949286,50.4501986543154,0208031,Kudowa-Zdrój,dolnośląskie
16.521058059114,50.571119143925,0208041,Nowa Ruda,dolnośląskie
16.501462261325,50.399453358484,0208051,Polanica-Zdrój,dolnośląskie
16.6330651919223,50.2904437877234,0208063,Bystrzyca Kłodzka,dolnośląskie
16.6551659391471,50.4318881790931,0208072,Kłodzko,dolnośląskie
16.8373279912709,50.3488920192027,0208083,Lądek-Zdrój,dolnośląskie
16.3006811056002,50.4121310543076,0208092,Lewin Kłodzki,dolnośląskie
16.6798972667466,50.1734533552381,0208103,Międzylesie,dolnośląskie
16.5203867734841,50.5970090549463,0208112,Nowa Ruda,dolnośląskie
16.4416485894593,50.5049944872003,0208123,Radków,dolnośląskie
16.9105978278187,50.2646192065349,0208133,Stronie Śląskie,dolnośląskie
16.4343693937035,50.4103586543216,0208143,Szczytna,dolnośląskie
15.9350901378397,51.2728010924641,0209011,Chojnów,dolnośląskie
15.902592806789,51.2905556910855,0209022,Chojnów,dolnośląskie
16.0879502585755,51.1516134162059,0209032,Krotoszyce,dolnośląskie
16.2715427517459,51.237367552051,0209042,Kunice,dolnośląskie
16.2445671523812,51.1491999248969,0209052,Legnickie Pole,dolnośląskie
